都道府県名,市区町村名,開設局数,25/12,25/11,25/10,25/09,25/08,25/07,25/06,25/05,25/04,25/03,25/02,25/01,24/12,24/11,24/10,24/09,24/08,24/07,24/06,24/05,24/04,24/03,24/02,24/01,23/12,23/11,23/10,23/09,23/08,23/07,23/06,23/05,23/04,23/03,23/02,23/01,22/12,22/11,22/10,22/09,22/08,22/07,22/06,22/05,22/04,22/03,22/02,22/01,21/12,21/11
大阪府,大阪市福島区,55,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,14,1,0,0,0,0,2,0,1,0,0,0,0
大阪府,大阪市此花区,80,-3,-10,-2,1,2,0,0,0,2,6,4,0,4,7,0,0,1,5,0,1,0,0,1,0,1,0,2,2,1,1,1,1,1,0,1,0,3,2,2,0,1,0,2,0,2,0,0,0,2,0
大阪府,大阪市西区,82,0,0,-1,0,0,0,0,-1,0,0,0,0,2,0,-3,-1,0,7,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,5,0,2,3,0,1,0,0,0,1,2,13,0,0,0,0,0
大阪府,大阪市港区,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0
大阪府,大阪市大正区,34,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,3,1,0,1,0,1,0,0,1,2,0,0,0,0,2,1,0
大阪府,大阪市天王寺区,51,0,0,0,0,0,-1,0,-2,0,0,-2,0,-3,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,-1,1,5,0,0,0,0,1,0,2,0,0,0,11,0,0,0,6,1,1,1,0
大阪府,大阪市浪速区,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,2,1,2,2,2,0,0,2,1,0,1,0,1,0,0,0,0,1,0,3,0,1,0,0
大阪府,大阪市西淀川区,52,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
大阪府,大阪市東淀川区,70,0,0,0,0,3,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,3,1,1,8,0,1,1,0,0,0,0,0,1,0,0,1,0,2,1,0
大阪府,大阪市東成区,62,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,3,1,0,1,0,1,18,10,0,0,0,0,0,0,0,0,0
大阪府,大阪市生野区,62,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,2,18,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0
